Date,Arctic,Antarctic
1990M01,14.8,4.9
1990M02,15.6,3
1990M03,15.9,4
1990M04,14.7,7
1990M05,13.2,9.7
1990M06,11.6,13.1
1990M07,9.2,15.6
1990M08,6.8,17.6
1990M09,6.1,18.2
1990M10,8.5,17.9
1990M11,11.1,15.5
1990M12,13.1,10
1991M01,14.4,5.3
1991M02,15.2,3.2
1991M03,15.4,3.8
1991M04,14.9,7.1
1991M05,13.5,10.3
1991M06,12.1,13.1
1991M07,9.5,15.6
1991M08,7.4,17.7
1991M09,6.5,18.3
1991M10,8.5,17.9
1991M11,10.9,15.6
1991M12,12.9,10.2
1992M01,14.6,4.7
1992M02,15.5,2.8
1992M03,15.5,3.6
1992M04,14.7,6.8
1992M05,13.2,9.9
1992M06,12.1,12.8
1992M07,10.3,15.9
1992M08,7.9,17.7
1992M09,7.5,18.1
1992M10,9.3,17.9
1992M11,11.4,15.9
1992M12,13.4,10.2
1993M01,14.9,4.4
1993M02,15.7,2.5
1993M03,15.8,3.7
1993M04,15.1,6.7
1993M05,13.4,10.1
1993M06,11.9,13.1
1993M07,9.5,15.9
1993M08,7.3,17.5
1993M09,6.4,18.5
1993M10,8.8,18.1
1993M11,11.3,16
1993M12,13.3,9.9
1994M01,14.7,5
1994M02,15.6,3.2
1994M03,15.6,4.5
1994M04,14.9,7.2
1994M05,13.6,10.4
1994M06,12,13.6
1994M07,9.9,16.3
1994M08,7.6,17.8
1994M09,7.1,18.6
1994M10,8.9,18.1
1994M11,11.1,15.9
1994M12,13.3,10.1
1995M01,14.6,5.6
1995M02,15.2,3.6
1995M03,15.3,4.6
1995M04,14.4,7.3
1995M05,13,10.4
1995M06,11.4,13.3
1995M07,9,15.7
1995M08,6.7,17.8
1995M09,6.1,18.4
1995M10,7.8,18
1995M11,10.8,15.6
1995M12,12.9,10.6
1996M01,14.2,5.9
1996M02,15.2,3
1996M03,15.1,4.2
1996M04,14.2,7.3
1996M05,13.1,10.9
1996M06,12.1,13.9
1996M07,10.2,16.1
1996M08,8.2,17.7
1996M09,7.6,18.6
1996M10,9.2,18
1996M11,10.4,15.7
1996M12,12.9,9.7
1997M01,14.4,4.2
1997M02,15.4,2.5
1997M03,15.5,3.5
1997M04,14.6,6.5
1997M05,13.2,10.1
1997M06,11.7,13.1
1997M07,9.4,15.9
1997M08,7.3,17.7
1997M09,6.7,18.6
1997M10,8.3,18
1997M11,10.7,15.7
1997M12,13.1,10.3
1998M01,14.7,4.5
1998M02,15.7,3
1998M03,15.6,4.1
1998M04,14.9,6.9
1998M05,13.6,10.3
1998M06,11.7,13.3
1998M07,9.4,16
1998M08,7.5,17.9
1998M09,6.5,18.9
1998M10,8.5,18.7
1998M11,10.4,16.3
1998M12,12.8,10.5
1999M01,14.4,4.8
1999M02,15.3,3
1999M03,15.4,4
1999M04,15.1,6.9
1999M05,13.8,10.3
1999M06,11.8,13.6
1999M07,9.5,16.3
1999M08,7.2,18
1999M09,6.1,18.7
1999M10,8.6,18.4
1999M11,10.8,16
1999M12,12.6,10.7
2000M01,14.2,4.7
2000M02,15.1,2.9
2000M03,15.2,4.1
2000M04,14.6,7.1
2000M05,13.2,10.9
2000M06,11.7,13.9
2000M07,9.5,16.1
2000M08,7.2,18.2
2000M09,6.2,18.9
2000M10,8.4,18.1
2000M11,10.3,15.8
2000M12,12.6,9.9
2001M01,14.2,5.2
2001M02,15.2,3.7
2001M03,15.5,4.7
2001M04,14.9,7
2001M05,13.5,10.3
2001M06,11.5,13.4
2001M07,9.1,15.9
2001M08,7.5,17.4
2001M09,6.7,18.2
2001M10,8.3,17.7
2001M11,10.7,15.6
2001M12,12.5,10.3
2002M01,14.3,4.7
2002M02,15.3,3
2002M03,15.3,3.7
2002M04,14.3,6.3
2002M05,13,9.5
2002M06,11.6,12.4
2002M07,9.3,15.4
2002M08,6.6,17.1
2002M09,5.8,17.9
2002M10,8.2,17.9
2002M11,10.3,15.4
2002M12,12.6,10.8
2003M01,14.4,5.8
2003M02,15.2,3.8
2003M03,15.5,4.4
2003M04,14.5,7.2
2003M05,13,10.7
2003M06,11.6,14
2003M07,9.2,16.4
2003M08,6.9,17.6
2003M09,6.1,18.3
2003M10,7.8,18.2
2003M11,10.1,16.1
2003M12,12.6,10.6
2004M01,14,5.6
2004M02,14.9,3.6
2004M03,15,4.5
2004M04,14,7.3
2004M05,12.6,10.5
2004M06,11.4,13.8
2004M07,9.4,16.3
2004M08,6.9,18
2004M09,6,18.9
2004M10,7.9,18.5
2004M11,10.3,16.1
2004M12,12.6,10.2
2005M01,13.7,4.8
2005M02,14.4,3
2005M03,14.7,4.1
2005M04,14.1,7
2005M05,12.9,10.3
2005M06,11.2,13.3
2005M07,8.6,16.2
2005M08,6.3,17.9
2005M09,5.5,18.8
2005M10,7.4,18.5
2005M11,10.2,16.3
2005M12,12.2,9.7
2006M01,13.5,4.2
2006M02,14.3,2.7
2006M03,14.4,3.2
2006M04,13.9,6
2006M05,12.5,9.5
2006M06,10.9,13.3
2006M07,8.5,16.1
2006M08,6.5,18.1
2006M09,5.9,19.1
2006M10,7.5,18.7
2006M11,9.7,16.2
2006M12,12,9.9
2007M01,13.7,4.7
2007M02,14.5,2.9
2007M03,14.5,3.8
2007M04,13.8,6.4
2007M05,12.8,9.6
2007M06,11.2,13.3
2007M07,7.9,16
2007M08,5.3,17.7
2007M09,4.3,18.9
2007M10,6,18.5
2007M11,9.8,15.9
2007M12,12,12
2008M01,13.9,6.4
2008M02,15,3.9
2008M03,15.2,5.3
2008M04,14.4,8.2
2008M05,13,11
2008M06,11.2,14.1
2008M07,8.7,16.1
2008M08,5.9,17.6
2008M09,4.7,18.1
2008M10,7.4,18
2008M11,10.3,16.2
2008M12,12.4,11.5
2009M01,13.9,5.7
2009M02,14.8,3
2009M03,15,4.4
2009M04,14.5,7.8
2009M05,13.2,10.9
2009M06,11.3,13.9
2009M07,8.5,16.3
2009M08,6.1,18.1
2009M09,5.3,19
2009M10,6.9,18.3
2009M11,9.8,15.8
2009M12,12.2,10.7
2010M01,13.7,5
2010M02,14.6,3.1
2010M03,15.1,3.8
2010M04,14.7,6.7
2010M05,12.9,10.6
2010M06,10.6,14.4
2010M07,8.1,16.9
2010M08,5.9,18.6
2010M09,4.9,18.8
2010M10,7,18.6
2010M11,9.6,16.8
2010M12,11.8,11.3
2011M01,13.5,4.5
2011M02,14.4,2.5
2011M03,14.5,3.4
2011M04,14.1,6.1
2011M05,12.7,10.1
2011M06,10.7,13.3
2011M07,7.7,15.8
2011M08,5.5,17.8
2011M09,4.6,18.7
2011M10,6.5,18.2
2011M11,9.8,15.8
2011M12,12.2,11.2
2012M01,13.7,5.7
2012M02,14.6,3.6
2012M03,15.2,4.6
2012M04,14.6,7.3
2012M05,13,10.5
2012M06,10.7,13.5
2012M07,7.7,16.3
2012M08,4.7,18.1
2012M09,3.6,19.2
2012M10,5.9,18.6
2012M11,9.4,16.1
2012M12,12,10.4
2013M01,13.7,5.5
2013M02,14.7,3.8
2013M03,15,5
2013M04,14.3,7.6
2013M05,13,10.9
2013M06,11.4,14.2
2013M07,8.1,16.8
2013M08,6,18.7
2013M09,5.2,19.4
2013M10,7.5,19
2013M11,9.9,16.9
2013M12,12.2,11.9
2014M01,13.6,6.3
2014M02,14.4,3.8
2014M03,14.8,4.9
2014M04,14.1,8.3
2014M05,12.7,11.5
2014M06,11,14.7
2014M07,8.1,17.1
2014M08,6.1,18.9
2014M09,5.2,19.8
2014M10,7.2,19
2014M11,10.1,16.4
2014M12,12.4,11.9
2015M01,13.6,6.9
2015M02,14.4,3.8
2015M03,14.4,5
2015M04,13.9,8.4
2015M05,12.5,11.7
2015M06,10.9,14.5
2015M07,8.4,16.8
2015M08,5.6,17.7
2015M09,4.6,18.4
2015M10,7,18.4
2015M11,9.8,16.2
2015M12,12,10.7
2016M01,13.5,4.7
2016M02,14.2,2.8
2016M03,14.4,4.1
2016M04,13.7,7.2
2016M05,11.9,10.1
2016M06,10.4,13.2
2016M07,7.9,16
2016M08,5.4,17.8
2016M09,4.5,18.1
2016M10,6,17.4
2016M11,8.6,14.1
2016M12,11.5,8.2
2017M01,13.2,3.7
2017M02,14.1,2.3
2017M03,14.3,2.7
2017M04,13.8,5.4
2017M05,12.6,9
2017M06,10.7,12.4
2017M07,7.9,15.2
2017M08,5.5,17.1
2017M09,4.8,17.8
2017M10,6.7,17.7
2017M11,9.5,15
2017M12,11.8,9.3
2018M01,13.1,4.1
2018M02,13.9,2.3
2018M03,14.3,3.5
2018M04,13.7,6
2018M05,12.2,9.3
2018M06,10.7,12.8
2018M07,8.2,15.7
2018M08,5.6,17.3
2018M09,4.7,17.9
2018M10,6.1,17.7
2018M11,9.8,15
2018M12,11.9,9.5
2019M1,12.1,3.9
2019M2,14.4,2.7
2019M3,14.6,3.2
2019M4,13.4,5.7
2019M5,12.2,6.8
2019M6,10.6,12.3
2019M7,7.6,15.3
2019M8,5,17.5
2019M9,4.4,18.3
2019M10,5.7,17.9
2019M11,9.4,15
2019M12,11.9,9.4
2020M1,12.2,4.6
2020M2,14.6,2.9
2020M3,14.7,4
2020M4,13.6,6.7
2020M5,12.3,7.6
2020M6,10.6,13.3
2020M7,7.3,15.7
2020M8,5.1,17.8
2020M9,4,18.8
2020M10,5.3,18.5
2020M11,9,16.2
2020M12,11.7,10.6
2021M1,11.7,4.7
2021M2,14.4,2.8
2021M3,14.6,4.5
2021M4,13.8,7.1
2021M5,12.7,8.2
2021M6,10.7,13.5
2021M7,7.7,16.4
2021M8,5.8,18.1
2021M9,4.9,18.5
2021M10,6.8,17.6
2021M11,9.8,15
2021M12,12.2,9.2
