Date,Arctic,Antarctic
1978M10,10.40267,17.699
1978M11,11.64513,15.8964
1978M12,13.66706,10.39525
1979M1 ,15.414,5.4022
1979M2 ,16.17529,3.141071
1979M3 ,16.34194,3.999313
1979M4 ,15.4468,7.485533
1979M5 ,13.85687,10.82667
1979M6 ,12.53,14.187
1979M7 ,10.31125,16.51688
1979M8 ,8.041067,17.69827
1979M9 ,7.051133,18.19553
1979M10,8.747938,17.8205
1979M11,10.94307,15.33707
1979M12,13.33627,9.2358
1980M1 ,14.86188,4.562
1980M2 ,15.95514,2.818357
1980M3 ,16.04131,3.294875
1980M4 ,15.42907,5.405
1980M5 ,13.7926,8.856667
1980M6 ,12.2046,12.49027
1980M7 ,10.10006,15.56444
1980M8 ,7.984267,17.8056
1980M9 ,7.667067,18.81727
1980M10,9.18275,18.56788
1980M11,11.38287,16.13313
1980M12,13.59293,10.15587
1981M1 ,14.90969,4.411875
1981M2 ,15.60407,2.8735
1981M3 ,15.63153,3.391533
1981M4 ,15.00993,5.838467
1981M5 ,13.80163,9.354625
1981M6 ,12.42973,13.10853
1981M7 ,10.271,16.03873
1981M8 ,7.844313,17.7365
1981M9 ,7.138467,18.59647
1981M10,8.856267,18.29373
1981M11,10.929,16.11133
1981M12,13.34113,10.89481
1982M1 ,15.17673,5.260067
1982M2 ,15.9735,3.1285
1982M3 ,16.04388,4.287813
1982M4 ,15.466,7.722933
1982M5 ,13.9732,10.75833
1982M6 ,12.47607,13.41673
1982M7 ,10.36706,15.87219
1982M8 ,8.139533,17.7892
1982M9 ,7.301733,18.35347
1982M10,9.421063,17.78838
1982M11,11.62747,15.5366
1982M12,13.6418,9.215667
1983M1 ,14.94244,4.7705
1983M2 ,16.00614,3.070286
1983M3 ,16.08527,4.015667
1983M4 ,15.17207,6.4704
1983M5 ,13.49131,9.526
1983M6 ,12.29567,12.6426
1983M7 ,10.57027,15.46667
1983M8 ,8.185875,17.25081
1983M9 ,7.3946,18.5852
1983M10,9.334067,17.91533
1983M11,11.461,16.0142
1983M12,13.29844,10.39388
1984M1 ,14.47327,4.778667
1984M2 ,15.29893,2.677267
1984M3 ,15.5842,3.612333
1984M4 ,15.01447,6.422
1984M5 ,13.57669,9.748438
1984M6 ,12.15167,13.23047
1984M7 ,9.977533,16.39487
1984M8 ,7.771063,17.92769
1984M9 ,6.8052,18.17147
1984M10,8.5606,17.5726
1984M11,10.84153,16.134
1984M12,12.98944,10.473
1985M1 ,14.72487,4.4554
1985M2 ,15.46571,2.836429
1985M3 ,15.88594,3.717188
1985M4 ,15.35653,6.4932
1985M5 ,14.0734,10.1528
1985M6 ,12.21907,13.42853
1985M7 ,9.744563,15.72094
1985M8 ,7.401867,17.6322
1985M9 ,6.697667,18.7032
1985M10,8.545938,18.20444
1985M11,11.02453,16.1402
1985M12,13.04993,11.3522
1986M1 ,14.88963,5.42225
1986M2 ,15.78486,3.193143
1986M3 ,15.90947,3.6984
1986M4 ,15.0588,6.385533
1986M5 ,13.37956,9.295625
1986M6 ,11.97593,12.687
1986M7 ,10.14647,15.3168
1986M8 ,7.979563,16.99881
1986M9 ,7.410667,17.68313
1986M10,9.483933,17.18373
1986M11,11.45327,15.0066
1986M12,13.22244,9.653938
1987M1 ,14.9698,5.126
1987M2 ,16.05014,3.253714
1987M3 ,15.81594,4.11275
1987M4 ,15.21087,6.796933
1987M5 ,13.74293,9.694067
1987M6 ,12.48567,12.68433
1987M7 ,10.33256,15.75156
1987M8 ,7.499905,17.66143
1987M9 ,7.2787,18.24607
1987M10,9.048774,17.6741
1987M11,11.22403,15.5841
1987M12,12.5405,13.379
1988M1 ,15.09047,3.817158
1988M2 ,15.58338,2.88569
1988M3 ,15.95723,3.966194
1988M4 ,15.12333,6.2874
1988M5 ,13.56087,9.60229
1988M6 ,11.94343,13.0928
1988M7 ,9.808677,15.74868
1988M8 ,7.891581,17.561
1988M9 ,7.369,18.3072
1988M10,9.135032,18.36103
1988M11,11.33083,16.14767
1988M12,13.62555,11.06061
1989M1 ,14.95481,4.736806
1989M2 ,15.49554,2.977607
1989M3 ,15.42329,3.92729
1989M4 ,14.3284,6.306267
1989M5 ,13.04413,10.29716
1989M6 ,12.24453,13.58043
1989M7 ,10.12971,15.71058
1989M8 ,7.881774,17.46565
1989M9 ,7.008333,18.12107
1989M10,8.828903,17.8561
1989M11,11.11523,15.73343
1989M12,13.38681,9.837516
1990M1 ,14.78261,4.867387
1990M2 ,15.57821,3.036179
1990M3 ,15.86674,3.965968
1990M4 ,14.65007,6.999867
1990M5 ,13.22584,9.715452
1990M6 ,11.64057,13.0829
1990M7 ,9.246613,15.57094
1990M8 ,6.797484,17.56745
1990M9 ,6.1428,18.193
1990M10,8.484935,17.94532
1990M11,11.0752,15.4683
1990M12,13.10555,9.953516
1991M1 ,14.36381,5.338258
1991M2 ,15.24939,3.161107
1991M3 ,15.41613,3.806839
1991M4 ,14.85973,7.053467
1991M5 ,13.47313,10.27945
1991M6 ,12.10803,13.06567
1991M7 ,9.514032,15.55042
1991M8 ,7.415355,17.71897
1991M9 ,6.4729,18.3126
1991M10,8.541419,17.91729
1991M11,10.8846,15.58353
1991M12,12.9451,10.19232
1992M1 ,14.64268,4.748871
1992M2 ,15.4621,2.837379
1992M3 ,15.48113,3.57329
1992M4 ,14.6769,6.7941
1992M5 ,13.21555,9.924774
1992M6 ,12.14677,12.8085
1992M7 ,10.32313,15.89442
1992M8 ,7.925258,17.72703
1992M9 ,7.4737,18.1472
1992M10,9.319516,17.93397
1992M11,11.37867,15.8955
1992M12,13.40739,10.20574
1993M1 ,14.89606,4.409387
1993M2 ,15.68564,2.482179
1993M3 ,15.81316,3.668194
1993M4 ,15.0772,6.6516
1993M5 ,13.36823,10.10377
1993M6 ,11.8709,13.14717
1993M7 ,9.476355,15.85487
1993M8 ,7.335,17.49177
1993M9 ,6.396667,18.5432
1993M10,8.786129,18.12755
1993M11,11.31873,16.04207
1993M12,13.31897,9.933355
1994M1 ,14.72977,4.96571
1994M2 ,15.56189,3.197536
1994M3 ,15.55361,4.549355
1994M4 ,14.88803,7.221567
1994M5 ,13.62439,10.408
1994M6 ,12.0164,13.56013
1994M7 ,9.925161,16.29597
1994M8 ,7.63929,17.83958
1994M9 ,7.1376,18.61263
1994M10,8.91529,18.09006
1994M11,11.1232,15.88043
1994M12,13.27187,10.10052
1995M1 ,14.58639,5.636
1995M2 ,15.22568,3.560786
1995M3 ,15.26016,4.626419
1995M4 ,14.4486,7.267633
1995M5 ,12.97206,10.41548
1995M6 ,11.44043,13.28987
1995M7 ,8.987097,15.74387
1995M8 ,6.744355,17.78019
1995M9 ,6.080133,18.37273
1995M10,7.828935,18.02965
1995M11,10.76087,15.63393
1995M12,12.92084,10.6219
1996M1 ,14.18087,5.871129
1996M2 ,15.15483,2.984586
1996M3 ,15.12281,4.183484
1996M4 ,14.21587,7.279933
1996M5 ,13.09455,10.91674
1996M6 ,12.08383,13.87037
1996M7 ,10.16426,16.11968
1996M8 ,8.180452,17.74139
1996M9 ,7.582533,18.6316
1996M10,9.160968,17.96455
1996M11,10.4017,15.7179
1996M12,12.86126,9.653161
1997M1 ,14.41748,4.197258
1997M2 ,15.43671,2.489536
1997M3 ,15.46752,3.457387
1997M4 ,14.56303,6.492333
1997M5 ,13.17716,10.12397
1997M6 ,11.73837,13.11603
1997M7 ,9.410839,15.92068
1997M8 ,7.285032,17.68435
1997M9 ,6.686333,18.59643
1997M10,8.336548,17.99339
1997M11,10.68417,15.73277
1997M12,13.07619,10.28539
1998M1 ,14.72052,4.464903
1998M2 ,15.74582,2.989571
1998M3 ,15.5981,4.107484
1998M4 ,14.89193,6.853833
1998M5 ,13.58984,10.32845
1998M6 ,11.7057,13.31323
1998M7 ,9.415161,15.96268
1998M8 ,7.508871,17.88135
1998M9 ,6.536033,18.9035
1998M10,8.451871,18.66045
1998M11,10.4406,16.3004
1998M12,12.75865,10.51948
1999M1 ,14.35939,4.815871
1999M2 ,15.30893,2.966
1999M3 ,15.39768,3.977774
1999M4 ,15.0839,6.8918
1999M5 ,13.75097,10.26532
1999M6 ,11.77917,13.64883
1999M7 ,9.48829,16.28161
1999M8 ,7.225581,17.9579
1999M9 ,6.116867,18.69637
1999M10,8.602806,18.35216
1999M11,10.79647,15.9646
1999M12,12.64119,10.72203
2000M1 ,14.22035,4.748871
2000M2 ,15.14148,2.906517
2000M3 ,15.22484,4.085871
2000M4 ,14.55817,7.1323
2000M5 ,13.15268,10.92058
2000M6 ,11.66523,13.8927
2000M7 ,9.513,16.09774
2000M8 ,7.168323,18.20613
2000M9 ,6.246067,18.88783
2000M10,8.379419,18.13052
2000M11,10.3211,15.75763
2000M12,12.63726,9.90971
2001M1 ,14.20261,5.233097
2001M2 ,15.21114,3.650357
2001M3 ,15.51632,4.731452
2001M4 ,14.85683,7.044267
2001M5 ,13.50961,10.3299
2001M6 ,11.45593,13.41807
2001M7 ,9.070355,15.85187
2001M8 ,7.460806,17.42274
2001M9 ,6.732167,18.17497
2001M10,8.29829,17.726
2001M11,10.65783,15.6103
2001M12,12.49074,10.3459
2002M1 ,14.27261,4.739613
2002M2 ,15.34236,2.960393
2002M3 ,15.3489,3.748258
2002M4 ,14.29943,6.327833
2002M5 ,12.97061,9.511548
2002M6 ,11.5834,12.37577
2002M7 ,9.274161,15.41471
2002M8 ,6.599,17.06668
2002M9 ,5.827133,17.88737
2002M10,8.161903,17.86577
2002M11,10.34187,15.40583
2002M12,12.60845,10.78542
2003M1 ,14.39084,5.77271
2003M2 ,15.19314,3.788571
2003M3 ,15.4849,4.444355
2003M4 ,14.51207,7.208267
2003M5 ,13.01606,10.73581
2003M6 ,11.60403,13.98537
2003M7 ,9.214774,16.40197
2003M8 ,6.935871,17.58248
2003M9 ,6.1161,18.2983
2003M10,7.84829,18.198
2003M11,10.12533,16.10953
2003M12,12.58835,10.56358
2004M1 ,14.02642,5.590516
2004M2 ,14.91438,3.583552
2004M3 ,14.99258,4.526194
2004M4 ,13.98733,7.279767
2004M5 ,12.55842,10.47003
2004M6 ,11.44707,13.78
2004M7 ,9.431355,16.33252
2004M8 ,6.854839,18.01006
2004M9 ,5.9845,18.91923
2004M10,7.92529,18.45694
2004M11,10.34327,16.08483
2004M12,12.55358,10.2289
2005M1 ,13.66145,4.751839
2005M2 ,14.37286,2.969607
2005M3 ,14.68661,4.081613
2005M4 ,14.08983,7.031967
2005M5 ,12.9111,10.28881
2005M6 ,11.16203,13.2915
2005M7 ,8.648742,16.15784
2005M8 ,6.301129,17.92248
2005M9 ,5.503767,18.8048
2005M10,7.351968,18.47681
2005M11,10.21633,16.31617
2005M12,12.22761,9.680258
2006M1 ,13.46558,4.163548
2006M2 ,14.32496,2.651393
2006M3 ,14.42097,3.214613
2006M4 ,13.90587,6.0104
2006M5 ,12.51735,9.456258
2006M6 ,10.9195,13.34477
2006M7 ,8.459839,16.11413
2006M8 ,6.495613,18.09765
2006M9 ,5.862433,19.0941
2006M10,7.541097,18.73261
2006M11,9.658733,16.22983
2006M12,11.95468,9.854129
2007M1 ,13.70303,4.672581
2007M2 ,14.51325,2.904607
2007M3 ,14.5421,3.834806
2007M4 ,13.8452,6.418267
2007M5 ,12.77968,9.647806
2007M6 ,11.22007,13.2873
2007M7 ,7.942839,15.95577
2007M8 ,5.342323,17.6819
2007M9 ,4.267267,18.86063
2007M10,6.03971,18.50774
2007M11,9.760167,15.89213
2007M12,12.03397,11.98052
2008M1 ,13.88726,6.41371
2008M2 ,14.95345,3.894517
2008M3 ,15.1789,5.284452
2008M4 ,14.35193,8.2423
2008M5 ,12.974,11.04935
2008M6 ,11.20833,14.06167
2008M7 ,8.677935,16.09484
2008M8 ,5.913065,17.64452
2008M9 ,4.687433,18.14503
2008M10,7.349871,17.9939
2008M11,10.34287,16.24813
2008M12,12.35848,11.51174
2009M1 ,13.91371,5.707355
2009M2 ,14.81154,2.990571
2009M3 ,14.98361,4.441065
2009M4 ,14.49563,7.7985
2009M5 ,13.18671,10.92574
2009M6 ,11.32027,13.90747
2009M7 ,8.465452,16.26132
2009M8 ,6.135742,18.09781
2009M9 ,5.261633,18.96047
2009M10,6.920323,18.29823
2009M11,9.771733,15.84783
2009M12,12.19987,10.73855
2010M1 ,13.73906,4.958097
2010M2 ,14.58143,3.1055
2010M3 ,15.13671,3.846742
2010M4 ,14.65873,6.715433
2010M5 ,12.8661,10.63926
2010M6 ,10.5851,14.4102
2010M7 ,8.074677,16.92132
2010M8 ,5.874903,18.60706
2010M9 ,4.865067,18.7986
2010M10,6.983903,18.64832
2010M11,9.613967,16.7549
2010M12,11.83084,11.27116
2011M1 ,13.46397,4.51171
2011M2 ,14.36304,2.519071
2011M3 ,14.54652,3.367839
2011M4 ,14.1078,6.0966
2011M5 ,12.68077,10.09274
2011M6 ,10.74867,13.3333
2011M7 ,7.724387,15.75255
2011M8 ,5.502452,17.80545
2011M9 ,4.561333,18.73923
2011M10,6.464548,18.21848
2011M11,9.7718,15.75737
2011M12,12.15358,11.19897
2012M1 ,13.72942,5.653871
2012M2 ,14.55334,3.553241
2012M3 ,15.19626,4.550258
2012M4 ,14.62577,7.309233
2012M5 ,13.01181,10.457
2012M6 ,10.67453,13.54667
2012M7 ,7.671774,16.298
2012M8 ,4.72329,18.09697
2012M9 ,3.5656,19.20783
2012M10,5.885871,18.59387
2012M11,9.387967,16.10993
2012M12,12.00639,10.39423
2013M1 ,13.70265,5.54329
2013M2 ,14.72354,3.836429
2013M3 ,15.03203,5.017387
2013M4 ,14.29873,7.622633
2013M5 ,12.99726,10.91974
2013M6 ,11.36013,14.15483
2013M7 ,8.131677,16.80855
2013M8 ,6.013516,18.66377
2013M9 ,5.208267,19.38867
2013M10,7.454839,19.01777
2013M11,9.939033,16.87217
2013M12,12.18426,11.85358
2014M1 ,13.64748,6.326806
